"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-08-01";"2023-07-01";"Spotify";"Ecuador";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"PLATFORM PROMOTION";"2";"EUR";"-0,000268";"0,000000";"-0,000535475000000";"0,75";"-0,000401606250000"
"2023-08-01";"2023-07-01";"Spotify";"Algeria";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"PLATFORM PROMOTION";"12";"EUR";"-0,000001";"0,000000";"-0,000011664000000";"0,75";"-0,000008748000000"
"2023-08-01";"2023-08-01";"YouTube Official Content";"Canada";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"2";"EUR";"0,006877";"0,000000";"0,013754608091500";"0,75";"0,010315956068625"
"2023-08-01";"2023-08-01";"YouTube UGC";"Germany";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"2";"EUR";"0,002716";"0,000000";"0,005431744613200";"0,75";"0,004073808459900"
"2023-08-01";"2023-06-01";"Deezer";"Egypt";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"1";"EUR";"0,007615";"0,000000";"0,007615362800000";"0,75";"0,005711522100000"
"2023-08-01";"2023-01-01";"Anghami";"Lebanon";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"3";"EUR";"0,001253";"0,000000";"0,003759040729877";"0,75";"0,002819280547408"
"2023-08-01";"2023-07-01";"Yandex";"Russian federation";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"2";"EUR";"0,000311";"0,000000";"0,000622918600000";"0,75";"0,000467188950000"
"2023-08-01";"2023-07-01";"Soundcloud";"France";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"7";"EUR";"0,002689";"0,000000";"0,018822313113450";"0,75";"0,014116734835087"
"2023-09-01";"2023-08-01";"Spotify";"Ghana";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"1";"EUR";"-0,000003";"0,000000";"-0,000003338000000";"0,75";"-0,000002503500000"
"2023-09-01";"2023-08-01";"Spotify";"Colombia";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"PLATFORM PROMOTION";"5";"EUR";"-0,000161";"0,000000";"-0,000804065000000";"0,75";"-0,000603048750000"
"2023-09-01";"2023-08-01";"Spotify";"Philippines";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,000429";"0,000000";"0,000429000000000";"0,75";"0,000321750000000"
"2023-09-01";"2023-08-01";"Spotify";"Romania";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"15";"EUR";"0,001781";"0,000000";"0,026715000100000";"0,75";"0,020036250075000"
"2023-09-01";"2023-09-01";"Apple Music";"Senegal";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"2";"EUR";"0,001394";"0,000000";"0,002788326100800";"0,75";"0,002091244575600"
"2023-07-01";"2023-05-01";"Deezer";"Mexico";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,002243";"0,000000";"0,002242631600000";"0,75";"0,001681973700000"
"2023-07-01";"2023-05-01";"Soundcloud";"France";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"";"EUR";"";"0,000000";"-0,000270539531846";"0,75";"-0,000202904648884"
"2023-07-01";"2023-06-01";"Spotify";"Luxembourg";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"38";"EUR";"-0,001000";"0,000000";"-0,038002089000000";"0,75";"-0,028501566750000"
"2023-07-01";"2023-06-01";"Spotify";"Romania";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"11";"EUR";"-0,000528";"0,000000";"-0,005808250800000";"0,75";"-0,004356188100000"
"2023-07-01";"2023-07-01";"YouTube Official Content";"Thailand";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"1";"EUR";"0,001857";"0,000000";"0,001856521218960";"0,75";"0,001392390914220"
