"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-10-01";"2023-09-01";"Spotify";"Japan";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"15";"EUR";"0,003035";"0,000000";"0,045520000300000";"0,75";"0,034140000225000"
"2023-10-01";"2023-09-01";"Spotify";"Czech republic";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"6";"EUR";"-0,000513";"0,000000";"-0,003077456000000";"0,75";"-0,002308092000000"
"2023-10-01";"2023-09-01";"Spotify";"El salvador";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"6";"EUR";"0,000900";"0,000000";"0,005399000000000";"0,75";"0,004049250000000"
"2023-10-01";"2023-09-01";"Spotify";"Spain";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Comme un chien ";"3616840797078";"FR-X76-21-65458";"";"Music release";"Stream";"1";"EUR";"0,004855";"0,000000";"0,004855000000000";"0,75";"0,003641250000000"
"2023-10-01";"2023-09-01";"Spotify";"United kingdom";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"175";"EUR";"0,004523";"0,000000";"0,791508004000000";"0,75";"0,593631003000000"
"2023-10-01";"2023-09-01";"Spotify";"Chile";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"21";"EUR";"0,001360";"0,000000";"0,028558000100000";"0,75";"0,021418500075000"
"2023-10-01";"2023-10-01";"Apple Music";"Turkey";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,001158";"0,000000";"0,001158227120160";"0,75";"0,000868670340120"
"2023-10-01";"2023-10-01";"YouTube Official Content";"Korea, republic of";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"3";"EUR";"0,006869";"0,000000";"0,020607447791970";"0,75";"0,015455585843977"
"2023-10-01";"2023-10-01";"YouTube Official Content";"New zealand";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,011740";"0,000000";"0,011740017435510";"0,75";"0,008805013076632"
"2023-11-01";"2023-10-01";"Spotify";"Algeria";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"20";"EUR";"0,000010";"0,000000";"0,000200000000000";"0,75";"0,000150000000000"
"2023-11-01";"2023-10-01";"Spotify";"Australia";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"3";"EUR";"0,001941";"0,000000";"0,005823000000000";"0,75";"0,004367250000000"
"2023-11-01";"2023-10-01";"Spotify";"Bolivia";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"6";"EUR";"0,000433";"0,000000";"0,002600000100000";"0,75";"0,001950000075000"
"2023-11-01";"2023-10-01";"Spotify";"Senegal";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,001730";"0,000000";"0,001730000000000";"0,75";"0,001297500000000"
"2023-11-01";"2023-10-01";"Spotify";"United arab emirates";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"5";"EUR";"-0,000881";"0,000000";"-0,004404599000000";"0,75";"-0,003303449250000"
"2023-11-01";"2023-11-01";"YouTube UGC";"Martinique";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"1";"EUR";"0,000383";"0,000000";"0,000383249154275";"0,75";"0,000287436865706"
"2023-11-01";"2023-11-01";"YouTube UGC";"France";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2063";"EUR";"0,003204";"0,000000";"6,608900803347918";"0,75";"4,956675602510939"
"2023-11-01";"2023-11-01";"YouTube UGC";"Argentina";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"4";"EUR";"0,000303";"0,000000";"0,001212337265535";"0,75";"0,000909252949151"
"2023-11-01";"2023-11-01";"Apple Music";"Mexico";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,004580";"0,000000";"0,004580047593720";"0,75";"0,003435035695290"
"2023-12-01";"2023-11-01";"Spotify";"Poland";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"10";"EUR";"0,001494";"0,000000";"0,014938999900000";"0,75";"0,011204249925000"
"2023-12-01";"2023-11-01";"Spotify";"Canada";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"511";"EUR";"0,002580";"0,000000";"1,318185991700000";"0,75";"0,988639493775000"
"2023-12-01";"2023-10-01";"Deezer";"Brazil";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"3";"EUR";"0,001873";"0,000000";"0,005617583300000";"0,75";"0,004213187475000"
"2023-12-01";"2023-10-01";"Deezer";"France";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"2955";"EUR";"0,005077";"0,000000";"15,003931179100000";"0,75";"11,252948384325000"
"2023-12-01";"2023-10-01";"Qobuz Stream";"France";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"8";"EUR";"0,014440";"0,000000";"0,115520000000000";"0,75";"0,086640000000000"
"2023-12-01";"2023-12-01";"Apple Music";"Australia";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"2";"EUR";"0,005892";"0,000000";"0,011784408545000";"0,75";"0,008838306408750"
"2023-12-01";"2023-12-01";"YouTube UGC";"Italy";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,000583";"0,000000";"0,001165356538560";"0,75";"0,000874017403920"
"2023-12-01";"2023-12-01";"YouTube Official Content";"France";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"120";"EUR";"0,007725";"0,000000";"0,927037507165169";"0,75";"0,695278130373876"
"2023-12-01";"2023-12-01";"YouTube Official Content";"Argentina";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"3";"EUR";"0,000397";"0,000000";"0,001190533994640";"0,75";"0,000892900495980"
"2023-12-01";"2023-12-01";"YouTube Official Content";"Switzerland";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"3";"EUR";"0,008811";"0,000000";"0,026433631299420";"0,75";"0,019825223474565"
"2023-12-01";"2023-12-01";"YouTube Official Content";"India";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"2";"EUR";"0,001400";"0,000000";"0,002800092794040";"0,75";"0,002100069595530"
"2023-10-01";"2023-08-01";"Facebook / Instagram";"Belgium";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Creation";"6";"EUR";"0,001260";"0,000000";"0,007562149282034";"0,75";"0,005671611961525"
"2023-10-01";"2021-09-01";"Deezer";"Brazil";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,000000";"0,000000";"0,000000011500000";"0,75";"0,000000008625000"
"2023-10-01";"2023-09-01";"Spotify";"Israel";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"7";"EUR";"0,001698";"0,000000";"0,011884000000000";"0,75";"0,008913000000000"
"2023-10-01";"2023-09-01";"Spotify";"Greece";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,003476";"0,000000";"0,003476000000000";"0,75";"0,002607000000000"
"2023-10-01";"2023-09-01";"Spotify";"Romania";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"3";"EUR";"0,002485";"0,000000";"0,007454000100000";"0,75";"0,005590500075000"
"2023-10-01";"2023-09-01";"Spotify";"Austria";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"5";"EUR";"0,002999";"0,000000";"0,014993000100000";"0,75";"0,011244750075000"
"2023-10-01";"2023-09-01";"Spotify";"Indonesia";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"13";"EUR";"0,000271";"0,000000";"0,003523000100000";"0,75";"0,002642250075000"
"2023-10-01";"2023-10-01";"YouTube Official Content";"Switzerland";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"2";"EUR";"0,010393";"0,000000";"0,020785650286050";"0,75";"0,015589237714537"
"2023-10-01";"2023-10-01";"YouTube Official Content";"Taiwan";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,002209";"0,000000";"0,004417936832400";"0,75";"0,003313452624300"
"2023-11-01";"2023-10-01";"Spotify";"Hungary";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"2";"EUR";"0,001253";"0,000000";"0,002506000000000";"0,75";"0,001879500000000"
"2023-11-01";"2023-10-01";"Spotify";"Tunisia";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"PLATFORM PROMOTION";"2";"EUR";"-0,000001";"0,000000";"-0,000001566000000";"0,75";"-0,000001174500000"
"2023-11-01";"2023-10-01";"Spotify";"Netherlands";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"7";"EUR";"-0,001235";"0,000000";"-0,008641789800000";"0,75";"-0,006481342350000"
"2023-11-01";"2023-10-01";"Facebook / Instagram";"Belgium";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"4";"EUR";"0,000038";"0,000000";"0,000152015600000";"0,75";"0,000114011700000"
"2023-11-01";"2023-11-01";"YouTube UGC";"France";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"373";"EUR";"0,003882";"0,000000";"1,447897161337082";"0,75";"1,085922871002812"
"2023-11-01";"2023-11-01";"YouTube UGC";"Switzerland";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"2";"EUR";"0,012991";"0,000000";"0,025982478462665";"0,75";"0,019486858846999"
"2023-11-01";"2023-11-01";"YouTube UGC";"Luxembourg";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"3";"EUR";"0,010974";"0,000000";"0,032922689774755";"0,75";"0,024692017331066"
"2023-11-01";"2023-11-01";"YouTube Official Content";"Belgium";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"5";"EUR";"0,008767";"0,000000";"0,043837353558930";"0,75";"0,032878015169197"
"2023-12-01";"2023-11-01";"Spotify";"Bulgaria";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"PLATFORM PROMOTION";"1";"EUR";"-0,000029";"0,000000";"-0,000028770000000";"0,75";"-0,000021577500000"
"2023-12-01";"2023-11-01";"Spotify";"Philippines";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"PLATFORM PROMOTION";"2";"EUR";"-0,000234";"0,000000";"-0,000467967000000";"0,75";"-0,000350975250000"
"2023-12-01";"2023-11-01";"Spotify";"Algeria";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"11";"EUR";"-0,000009";"0,000000";"-0,000094601100000";"0,75";"-0,000070950825000"
